StoreNumber,OwnershipTypeCode,StreetAddress,City,PostalCode,Latitude,Longitude
49060-266831,Licensed,6-1 Sunayamacho Naka-ku,Hamamatsu,430-0926,34.703976,137.734092
53745-285567,Company Owned,100-2 Motoshirocho Naka-ku,Hamamatsu,430 0946,34.713223,137.726084
30178-31959,Company Owned,15 Kajimachi Naka-ku,Hamamatsu,430-0933,34.705121,137.729454
66002-300418,Company Owned,280-1 Saida,Kakegawa,436-0048,34.772292,137.982202
25218-240247,Company Owned,3-52-34 Sanarudai Naka-ku,Hamamatsu,432-8021,34.709692,137.697012
3692-146088,Licensed,621-1 Irinocho Nishi-ku,Hamamatsu,432-8061,34.700629,137.698859
30554-96700,Company Owned,2-37-1 Shitoro Nishi-ku,Hamamatsu,432-8069,34.69658,137.650706
31455-108700,Company Owned,61-2 Sakume Mikkabicho Kita-ku,Hamamatsu,431-1401,34.781439,137.60726
56369-289333,Company Owned,1-8-42 Takayanagicho,Fujieda,426-0041,34.8501,138.264354
62626-297108,Company Owned,6-4 Minamimatsubara Akebonocho,Toyohashi,441-8151,34.730487,137.400367
29049-231666,Company Owned,1-2 Honmachi,Fujieda,426-0018,34.874145,138.258792
60490-293436,Company Owned,2-1-1 Yagusu,Yaizu,425-0091,34.877791,138.311979
55274-286714,Company Owned,430-1 Nakahara Suruga-ku,Shizuoka,422-8058,34.958084,138.387944
29254-253128,Company Owned,1-20 Gofukucho Aoi-ku,Shizuoka,420-0031,34.975598,138.380658
30270-53579,Company Owned,2-8-9 Gofukucho Aoi-ku,Shizuoka,420-0031,34.973672,138.384335
54298-286561,Licensed,47 Kuroganecho Aoi-ku,Shizuoka,420-0851,34.971632,138.38892
31470-110090,Licensed,39-1 Kuroganecho Aoi-ku,Shizuoka,420-0851,34.971579,138.389181
30653-100506,Company Owned,1-5-1 Ishida Suruga-ku,Shizuoka,422-8042,34.958678,138.401188
18939-188485,Company Owned,1026 Yunoki Aoi-ku,Shizuoka,420-0821,34.984436,138.409181
32077-132231,Company Owned,1330 Hiraki,Toyama,930-0944,36.68142,137.259579
22691-223984,Company Owned,3-6-7 Nunosemachiminami,Toyama,939-8208,36.673548,137.201298
31962-126368,Company Owned,3-8-6 Sogawa,Toyama,930-0083,36.689623,137.213184
22272-219286,Company Owned,1-1-61 Sakuramachi,Toyama,930-0003,36.700531,137.21365
31278-107029,Company Owned,7-1-1 Motomiya,Morioka,020-0866,39.683096,141.128688
20218-204228,Company Owned,4-12-20 Kitaiioka,Morioka,020-0857,39.668325,141.134213
27389-247467,Company Owned,1-44 Moriokaekimaedori,Morioka,020-0034,39.700752,141.137435
30381-78922,Company Owned,1-11-11 Saien,Morioka,020-0024,39.701589,141.146838
30494-93079,Company Owned,4-7-1 Maegata,Morioka,020-0148,39.711315,141.099137
48563-263846,Company Owned,"96-2 18-chiwari, Kitaoniyanagi",Kitakami,024-0072,39.293762,141.100248
54116-286199,Company Owned,57-2 Haguroda Mizusawa-sakurakawa,Oshu,023-0003,39.146275,141.154943
50134-271407,Company Owned,4-48-2 Hikarigaoka,Tajimi,507-0052,35.347026,137.109339
57416-288389,Company Owned,2-116 Umetsubo,Inuyama,484-0074,35.375559,136.952301
63755-297170,Company Owned,6-1 Hiromi,Kani,509-0214,35.422659,137.063087
30620-100746,Company Owned,2-40-25 Seijo,Setagaya-ku,157-0066,35.639896,139.599042
65519-299950,Licensed,1-9-45 Funabashi,Setagaya-ku,156-0055,35.647147,139.623315
30153-20162,Company Owned,1-49-2 Sengawacho,Chofu,182-0002,35.661394,139.585779
31219-190106,Company Owned,6-20-2 Shinkawa,Mitaka,181-8611,35.677566,139.566494
